ident,iata_code,type,name,iso_country,latitude_deg,longitude_deg,elevation_ft,runway_count,max_runway,avg_runway
VTSS,HDY,medium_airport,Hat Yai International Airport,TH,6.93320989609,100.392997742,90.0,1,10007.0,10007.0
VTST,TST,medium_airport,Trang Airport,TH,7.50874,99.6166,67.0,1,6890.0,6890.0
VTUD,UTH,medium_airport,Udon Thani Airport,TH,17.386400222800003,102.788002014,579.0,1,10000.0,10000.0
VTUI,SNO,medium_airport,Sakon Nakhon Airport,TH,17.195100784301758,104.11900329589844,529.0,1,8530.0,8530.0
VTUJ,PXR,medium_airport,Surin Airport,TH,14.868300437927,103.49800109863,478.0,1,5053.0,5053.0
VTUK,KKC,medium_airport,Khon Kaen Airport,TH,16.466600418099997,102.783996582,670.0,1,10007.0,10007.0
VTUL,LOE,medium_airport,Loei Airport,TH,17.43910026550293,101.72200012207033,860.0,1,6890.0,6890.0
VTUO,BFV,medium_airport,Buri Ram Airport,TH,15.229499816894531,103.25299835205078,590.0,1,6890.0,6890.0
VTUQ,NAK,medium_airport,Nakhon Ratchasima Airport,TH,14.9495,102.313004,765.0,1,6890.0,6890.0
VTUU,UBP,medium_airport,Ubon Ratchathani Airport,TH,15.2512998581,104.870002747,406.0,1,9848.0,9848.0
VTUV,ROI,medium_airport,Roi Et Airport,TH,16.11680030822754,103.77400207519533,451.0,1,6890.0,6890.0
VTUW,KOP,medium_airport,Nakhon Phanom Airport,TH,17.383801,104.642998,587.0,1,8203.0,8203.0
VVBM,BMV,medium_airport,Buon Ma Thuot Airport,VN,12.668299675,108.120002747,1729.0,1,9843.0,9843.0
VVCI,HPH,medium_airport,Cat Bi International Airport,VN,20.81686,106.722994,6.0,1,10007.0,10007.0
VVCM,CAH,medium_airport,Cà Mau Airport,VN,9.177667,105.177778,6.0,1,4921.0,4921.0
VVCR,CXR,medium_airport,Cam Ranh International Airport / Cam Ranh Air Base,VN,11.9982,109.219002,40.0,2,10000.0,10000.0
VVCS,VCS,medium_airport,Con Dao Airport,VN,8.73183,106.633003,20.0,1,6004.0,6004.0
VVCT,VCA,medium_airport,Can Tho International Airport,VN,10.0851,105.711998,9.0,1,9843.0,9843.0
VVDB,DIN,medium_airport,Dien Bien Phu Airport,VN,21.3974990845,103.008003235,1611.0,1,6003.0,6003.0
VVDL,DLI,medium_airport,Lien Khuong Airport,VN,11.75,108.366997,3156.0,1,10663.0,10663.0
VVDN,DAD,medium_airport,Da Nang International Airport,VN,16.0439,108.198997,33.0,2,11483.0,10741.5
VVGL,,medium_airport,Gia Lam Air Base,VN,21.040501,105.886002,50.0,1,6571.0,6571.0
VVNB,HAN,large_airport,Noi Bai International Airport,VN,21.221201,105.806999,39.0,2,12466.0,11482.5
VVPB,HUI,medium_airport,Phu Bai International Airport,VN,16.400628,107.703094,48.0,1,8775.0,8775.0
VVPC,UIH,medium_airport,Phu Cat Airport,VN,13.955,109.042,80.0,1,10010.0,10010.0
VVPK,PXU,medium_airport,Pleiku Airport,VN,14.00450038909912,108.01699829101562,2434.0,1,7874.0,7874.0
VVPQ,PQC,medium_airport,Phu Quoc International Airport,VN,10.1698,103.9931,37.0,1,9843.0,9843.0
VVRG,VKG,medium_airport,Rach Gia Airport,VN,9.95802997234,105.132379532,7.0,1,4921.0,4921.0
VVTH,TBB,medium_airport,Dong Tac Airport,VN,13.0496,109.334,20.0,3,9520.0,7196.666666666667
VVTS,SGN,large_airport,Tan Son Nhat International Airport,VN,10.8188,106.652,33.0,2,12468.0,11237.5
VVVD,VDO,medium_airport,Van Don International Airport,VN,21.120693,107.41539,24.0,1,11811.0,11811.0
VVVH,VII,medium_airport,Vinh Airport,VN,18.7376003265,105.67099762,23.0,1,7875.0,7875.0
VYDW,TVY,medium_airport,Dawei Airport,MM,14.103899955749512,98.20359802246094,84.0,1,7005.0,7005.0
VYEL,NYT,medium_airport,Nay Pyi Taw International Airport,MM,19.623501,96.200996,302.0,1,12000.0,12000.0
VYKG,KET,medium_airport,Kengtung Airport,MM,21.30159950256348,99.63600158691406,2798.0,1,7815.0,7815.0
VYKP,KYP,medium_airport,Kyaukpyu Airport,MM,19.42639923095703,93.53479766845705,20.0,1,4600.0,4600.0
VYKT,KAW,medium_airport,Kawthoung Airport,MM,10.04930019378662,98.53800201416016,180.0,1,6000.0,6000.0
VYLK,LIW,medium_airport,Loikaw Airport,MM,19.691499710083008,97.2147979736328,2940.0,1,5200.0,5200.0
VYLS,LSH,medium_airport,Lashio Airport,MM,22.9778995513916,97.752197265625,2450.0,1,5285.0,5285.0
VYMD,MDL,large_airport,Mandalay International Airport,MM,21.70219993591309,95.97789764404295,300.0,1,14003.0,14003.0
VYME,MGZ,medium_airport,Myeik Airport,MM,12.439800262451172,98.62149810791016,75.0,1,8795.0,8795.0
VYMK,MYT,medium_airport,Myitkyina Airport,MM,25.38360023498535,97.35189819335938,475.0,1,6100.0,6100.0
VYMO,MOE,medium_airport,Momeik Airport,MM,23.092500686645508,96.64530181884766,600.0,1,4498.0,4498.0
VYMS,MOG,medium_airport,Mong Hsat Airport,MM,20.51679992675781,99.25679779052734,1875.0,1,5000.0,5000.0
VYNP,,medium_airport,Nampong Air Base,MM,25.3544006348,97.2951965332,459.0,1,11025.0,11025.0
VYNS,NMS,medium_airport,Namsang Airport,MM,20.890499114990234,97.73590087890624,3100.0,1,12005.0,12005.0
VYPT,PBU,medium_airport,Putao Airport,MM,27.32990074157715,97.42630004882812,1500.0,1,7002.0,7002.0
VYST,,medium_airport,Shante Air Base,MM,20.941699981689453,95.91449737548828,630.0,1,8501.0,8501.0
VYSW,AKY,medium_airport,Sittwe Airport,MM,20.133165,92.870693,27.0,1,6001.0,6001.0
VYTD,SNW,medium_airport,Thandwe Airport,MM,18.4606990814209,94.30010223388672,20.0,1,5502.0,5502.0
VYTL,THL,medium_airport,Tachileik Airport,MM,20.483800888061523,99.9354019165039,1280.0,1,7002.0,7002.0
VYYY,RGN,large_airport,Yangon International Airport,MM,16.907300949099998,96.1332015991,109.0,1,11200.0,11200.0
WAAA,UPG,large_airport,Hasanuddin International Airport,ID,-5.06163,119.554001,47.0,2,10171.0,9186.5
WABB,BIK,medium_airport,Frans Kaisiepo Airport,ID,-1.19002,136.108002,46.0,1,11715.0,11715.0
WABI,NBX,medium_airport,Nabire Airport,ID,-3.368586,135.496702,20.0,1,4593.0,4593.0
WABP,TIM,medium_airport,Mozes Kilangin Airport,ID,-4.52978,136.887388,103.0,1,7841.0,7841.0
WADD,DPS,large_airport,Ngurah Rai (Bali) International Airport,ID,-8.74817,115.167,14.0,1,9790.0,9790.0
WADL,LOP,medium_airport,Lombok International Airport,ID,-8.757792,116.275435,319.0,1,10826.0,10826.0
WAEW,OTI,medium_airport,Pitu Airport,ID,2.04599,128.324997,49.0,1,7880.0,7880.0
WAFB,TRT,medium_airport,Toraja Airport,ID,-3.185833,119.91775,2884.0,1,6562.0,6562.0
WAFF,PLW,medium_airport,Mutiara - SIS Al-Jufrie Airport,ID,-0.916462,119.908647,284.0,1,6781.0,6781.0
WAFP,PSJ,medium_airport,Kasiguncu Airport,ID,-1.41675,120.657997,174.0,1,3650.0,3650.0
WAFW,LUW,medium_airport,Syukuran Aminuddin Amir Airport,ID,-1.035893,122.773934,56.0,1,6070.0,6070.0
WAGG,PKY,medium_airport,Tjilik Riwut Airport,ID,-2.22513,113.943001,82.0,1,8202.0,8202.0
WAHI,YIA,medium_airport,Yogyakarta International Airport,ID,-7.905338,110.057264,24.0,1,10663.0,10663.0
WAHL,CXP,medium_airport,Tunggul Wulung Airport,ID,-7.64506,109.033997,69.0,1,4570.0,4570.0
WAJJ,DJJ,large_airport,Dortheys Hiyo Eluay International Airport,ID,-2.579627,140.519857,289.0,1,9842.0,9842.0
WAJO,OKL,medium_airport,Oksibil Airport,ID,-4.9071,140.6277,4315.0,1,2854.0,2854.0
WAKK,MKQ,medium_airport,Mopah International Airport,ID,-8.523898,140.419693,10.0,1,6070.0,6070.0
WALK,BEJ,medium_airport,Kalimarau Airport,ID,2.1555,117.431999,59.0,1,4625.0,4625.0
WALL,BPN,large_airport,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,ID,-1.268342,116.89452,12.0,1,8202.0,8202.0
WALR,TRK,medium_airport,Juwata International Airport / Suharnoko Harbani AFB,ID,3.325145,117.564169,23.0,1,7382.0,7382.0
WALS,AAP,medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,ID,-0.374478,117.250128,82.0,1,7382.0,7382.0
WAMH,NAH,medium_airport,Naha Airport,ID,3.683209896087648,125.52799987792967,16.0,1,3597.0,3597.0
WAMM,MDC,medium_airport,Sam Ratulangi Airport,ID,1.54926,124.926003,264.0,1,8693.0,8693.0
WAMT,TTE,medium_airport,Sultan Babullah Airport,ID,0.831012,127.381611,49.0,1,5875.0,5875.0
WAON,TJG,medium_airport,Warukin Airport,ID,-2.21656,115.435997,197.0,1,4601.0,4601.0
WAOO,BDJ,medium_airport,Syamsudin Noor International Airport,ID,-3.44236,114.763,66.0,1,8202.0,8202.0
WAPP,AMQ,medium_airport,Pattimura International Airport,ID,-3.71026,128.089005,33.0,1,8202.0,8202.0
WARA,MLG,medium_airport,Abdul Rachman Saleh Airport,ID,-7.929099,112.714233,1726.0,2,6464.0,5692.5
WARJ,JOG,medium_airport,Adisutjipto International Airport,ID,-7.78818,110.431999,379.0,2,7215.0,5800.0
WARQ,SOC,medium_airport,Adisumarmo International Airport,ID,-7.516044,110.757492,421.0,1,8530.0,8530.0
WARR,SUB,large_airport,Juanda International Airport,ID,-7.37983,112.787003,9.0,1,9843.0,9843.0
WARS,SRG,medium_airport,Achmad Yani Airport,ID,-6.970732,110.373244,10.0,1,6070.0,6070.0
WASF,FKQ,medium_airport,Fakfak Airport,ID,-2.920508,132.267011,462.0,1,3415.0,3415.0
WASK,KNG,medium_airport,Kaimana Airport,ID,-3.6446,133.695116,19.0,1,5249.0,5249.0
WASO,BXB,medium_airport,Babo Airport,ID,-2.53224,133.438995,10.0,1,4280.0,4280.0
WASR,MKW,medium_airport,Rendani Airport,ID,-0.891833,134.048996,23.0,1,6562.0,6562.0
WAVV,WMX,medium_airport,Wamena Airport,ID,-4.097324,138.952417,5435.0,1,7135.0,7135.0
WAXX,SOQ,medium_airport,Domine Eduard Osok Airport,ID,-0.894,131.287,10.0,1,6070.0,6070.0
WBGB,BTU,medium_airport,Bintulu Airport,MY,3.12385010719,113.019996643,74.0,1,9006.0,9006.0
WBGG,KCH,medium_airport,Kuching International Airport,MY,1.487364,110.352859,89.0,1,12402.0,12402.0
WBGJ,LMN,medium_airport,Limbang Airport,MY,4.808300018310547,115.01000213623048,14.0,1,4922.0,4922.0
WBGK,MKM,medium_airport,Mukah Airport,MY,2.881944,112.043333,20.0,1,4921.0,4921.0
