id,airport_ref,ident,length_ft,width_ft,runway_count,max_runway
242708,21400,KXFL,5000.0,200.0,5,5000.0
242708,21400,KXFL,5000.0,200.0,5,5000.0
242709,21400,KXFL,5000.0,100.0,5,5000.0
242709,21400,KXFL,5000.0,100.0,5,5000.0
242709,21400,KXFL,5000.0,100.0,5,5000.0
242710,21400,KXFL,4999.0,100.0,5,5000.0
242710,21400,KXFL,4999.0,100.0,5,5000.0
242710,21400,KXFL,4999.0,100.0,5,5000.0
242711,21400,KXFL,5000.0,200.0,5,5000.0
242711,21400,KXFL,5000.0,200.0,5,5000.0
242711,21400,KXFL,5000.0,200.0,5,5000.0
250588,21400,KXFL,3000.0,500.0,5,5000.0
250588,21400,KXFL,3000.0,500.0,5,5000.0
250588,21400,KXFL,3000.0,500.0,5,5000.0
241362,18499,KXLL,3950.0,75.0,2,3950.0
241363,18499,KXLL,3159.0,75.0,2,3950.0
244610,3956,KXMR,10000.0,200.0,1,10000.0
239804,21410,KXNA,8800.0,150.0,2,8800.0
239804,21410,KXNA,8800.0,150.0,2,8800.0
352762,21410,KXNA,8800.0,150.0,2,8800.0
352762,21410,KXNA,8800.0,150.0,2,8800.0
325462,325460,KXNI,6000.0,75.0,1,6000.0
241163,21411,KXNO,3500.0,90.0,2,10000.0
241164,21411,KXNO,10000.0,150.0,2,10000.0
255651,35150,KXSA,4300.0,75.0,1,4300.0
260277,28148,KXTA,5420.0,,2,12000.0
260278,28148,KXTA,12000.0,,2,12000.0
241525,21412,KXVG,3781.0,75.0,1,3781.0
241902,21413,KY03,1875.0,100.0,2,3500.0
241903,21413,KY03,3500.0,60.0,2,3500.0
243116,21414,KY14,3650.0,60.0,1,3650.0
242593,21415,KY19,2900.0,120.0,2,4400.0
242594,21415,KY19,4400.0,75.0,2,4400.0
243171,21416,KY23,1100.0,70.0,2,3400.0
243172,21416,KY23,3400.0,60.0,2,3400.0
241223,21417,KY27,3700.0,60.0,1,3700.0
242852,21418,KY31,5000.0,100.0,1,5000.0
245775,21419,KY37,2500.0,100.0,2,3100.0
245776,21419,KY37,3100.0,60.0,2,3100.0
240031,21420,KY43,2825.0,95.0,1,2825.0
244726,21421,KY47,3128.0,40.0,1,3128.0
245754,21422,KY50,1190.0,35.0,3,3300.0
245755,21422,KY50,2280.0,150.0,3,3300.0
245756,21422,KY50,3300.0,60.0,3,3300.0
243613,21423,KY51,2555.0,90.0,2,3346.0
243614,21423,KY51,3346.0,60.0,2,3346.0
245725,21424,KY55,2730.0,100.0,2,3100.0
245726,21424,KY55,3100.0,75.0,2,3100.0
240423,21425,KY65,3006.0,50.0,1,3006.0
244230,21426,KY70,4300.0,75.0,2,4300.0
244231,21426,KY70,4290.0,340.0,2,4300.0
244239,21427,KY72,3900.0,75.0,2,3900.0
244240,21427,KY72,2210.0,200.0,2,3900.0
241136,21428,KY74,3200.0,60.0,2,3200.0
241137,21428,KY74,1350.0,20.0,2,3200.0
264088,45432,KY8,4000.0,75.0,1,4000.0
244544,21429,KY83,3105.0,75.0,2,3105.0
244545,21429,KY83,2300.0,150.0,2,3105.0
240160,21430,KY89,3500.0,75.0,1,3500.0
244464,21431,KY93,3000.0,60.0,2,3223.0
244465,21431,KY93,3223.0,100.0,2,3223.0
240496,21432,KY94,3250.0,50.0,2,3250.0
240497,21432,KY94,1800.0,120.0,2,3250.0
240710,21433,KY95,3400.0,60.0,2,3400.0
240711,21433,KY95,2850.0,150.0,2,3400.0
245083,3957,KYIP,6655.0,160.0,5,7526.0
245082,3957,KYIP,7526.0,150.0,5,7526.0
245085,3957,KYIP,7294.0,160.0,5,7526.0
245084,3957,KYIP,6511.0,160.0,5,7526.0
245086,3957,KYIP,6914.0,160.0,5,7526.0
241645,3958,KYKM,3835.0,150.0,2,7603.0
241646,3958,KYKM,7603.0,150.0,2,7603.0
241421,3959,KYKN,3380.0,75.0,2,6095.0
241422,3959,KYKN,6095.0,100.0,2,6095.0
245992,3960,KYNG,5002.0,150.0,3,9003.0
245993,3960,KYNG,9003.0,150.0,3,9003.0
246995,3960,KYNG,3500.0,60.0,3,9003.0
257433,41860,KZ-0008,8530.0,138.0,1,8530.0
309650,44336,KZ-0067,10500.0,197.0,1,10500.0
351236,318380,KZ-0082,7546.0,144.0,1,7546.0
346659,346658,KZ-0114,3937.0,66.0,1,3937.0
240060,21436,KZ01,5000.0,60.0,1,5000.0
239643,21437,KZ10,3500.0,60.0,1,3500.0
320810,320809,KZ19,450.0,40.0,1,450.0
320808,320807,KZ27,100.0,100.0,1,100.0
243608,21439,KZ98,3800.0,60.0,1,3800.0
242696,21440,KZEF,4003.0,75.0,1,4003.0
244327,21441,KZER,2270.0,140.0,2,4594.0
244328,21441,KZER,4594.0,75.0,2,4594.0
311545,302157,KZF,1476.0,98.0,1,1476.0
239851,21442,KZPH,5072.0,100.0,2,5072.0
239850,21442,KZPH,5001.0,100.0,2,5072.0
244734,21443,KZUN,4807.0,50.0,1,4807.0
242720,3967,KZZV,5000.0,150.0,2,5000.0
242721,3967,KZZV,4999.0,150.0,2,5000.0
253689,21444,L11,15000.0,4000.0,1,15000.0
248998,21445,L18,2160.0,60.0,1,2160.0
255399,21446,L20,3850.0,70.0,1,3850.0
253380,21447,L25,2900.0,110.0,1,2900.0
248507,21449,L36,2625.0,42.0,1,2625.0
255657,21450,L37,5100.0,45.0,1,5100.0
