id,airport_ref,ident,length_ft,width_ft
265232,7315,0MD5,90,90
255858,7316,0MD6,1800,60
265233,7317,0MD7,100,100
265234,7319,0MD9,55,55
264182,45455,0ME4,2000,110
345499,345496,0ME7,4000,400
255345,7321,0MI1,3500,50
251725,7323,0MI3,1800,100
251726,7323,0MI3,2400,100
251727,7323,0MI3,3700,150
246858,7324,0MI4,3000,100
246436,7325,0MI6,2200,300
265235,7326,0MI7,35,35
347760,7327,0MI8,1600,100
347758,7327,0MI8,2800,100
265236,7328,0MI9,50,50
252958,7329,0MN0,5500,700
257060,7331,0MN2,11000,3000
249433,7332,0MN3,5000,100
249434,7332,0MN3,5000,100
255483,7333,0MN4,5000,300
249752,7334,0MN5,2800,60
247554,7335,0MN6,2500,150
265237,7336,0MN7,120,100
249756,7337,0MN8,1650,50
265238,7338,0MN9,50,50
247518,7339,0MO0,1685,120
249741,7340,0MO1,2100,50
255377,7341,0MO2,1200,40
269494,7343,0MO4,18,18
247969,7344,0MO5,1800,60
269495,7346,0MO7,65,65
252453,7347,0MO8,2600,130
269496,7348,0MO9,50,50
240020,7349,0MS0,3200,100
256029,7351,0MS2,2300,75
265239,7352,0MS3,30,30
247202,7354,0MS5,2700,60
265240,7355,0MS6,240,150
249870,7356,0MS7,2100,60
257696,7357,0MS8,4000,75
255413,7358,0MS9,3200,50
256524,7359,0MT1,1500,30
269497,7360,0MT2,30,30
269498,7361,0MT3,40,40
248174,7362,0MT4,1000,60
